annee;code_postal_acheteur;amm;quantite_produit;conditionnement;eaj;achat_etranger
2017;97213;9700521;2.5;l;Oui;Non
2017;97215;2110095;30.0;l;Non;Non
2017;97215;2110178;10.0;l;Non;Non
2017;97216;8900681;5.0;l;Non;Non
2017;97226;2060098;1.0;l;Non;Non
2017;97227;2010427;120.0;l;Non;Non
2017;97227;2060133;25.0;l;Non;Non
2017;97227;2080029;3.0;l;Non;Non
2017;97227;2080101;51.0;kg;Non;Non
2017;97227;2090094;300.0;kg;Non;Non
2017;97227;9200482;51.0;kg;Oui;Non
2017;97227;9500568;100.0;kg;Non;Non
2017;97227;9700332;60.0;l;Oui;Non
2017;97227;9900242;400.0;kg;Non;Non
2017;97227;9900251;10.0;l;Non;Non
2017;97229;2060088;180.0;l;Non;Non
2017;97229;2090008;0.78;l;Non;Non
2017;97229;2110121;2.38;l;Non;Non
2017;97229;9100418;2.0;l;Non;Non
2017;97229;9800344;0.52;l;Non;Non
